result2: 2025-01-01, E=5587.818, elapsed=0.1s
result4-2: 2025-01-01, E=5655.957, elapsed=0.1s
result3: 2025-01-01, E=9919.019, elapsed=0.6s
result4-2: 2025-01-31, E=1689.278, elapsed=1.8s
result2: 2025-01-31, E=1694.012, elapsed=1.8s
result4-2: 2025-03-02, E=1200.000, elapsed=4.0s
result2: 2025-03-02, E=1200.000, elapsed=4.0s
result3: 2025-01-31, E=1819.030, elapsed=4.3s
result4-2: 2025-04-01, E=1524.641, elapsed=6.1s
result2: 2025-04-01, E=1535.569, elapsed=6.1s
result4-2: 2025-05-01, E=1200.000, elapsed=8.1s
result2: 2025-05-01, E=1200.000, elapsed=8.2s
result3: 2025-03-02, E=1200.947, elapsed=8.2s
result4-2: 2025-05-31, E=3072.027, elapsed=10.2s
result2: 2025-05-31, E=3080.356, elapsed=10.3s
result3: 2025-04-01, E=2055.956, elapsed=12.2s
result4-2: 2025-06-30, E=2594.283, elapsed=12.2s
result2: 2025-06-30, E=3462.511, elapsed=12.3s
result4-2: 2025-07-30, E=4384.024, elapsed=14.3s
result2: 2025-07-30, E=5086.930, elapsed=14.4s
result3: 2025-05-01, E=1200.000, elapsed=16.1s
result4-2: 2025-08-29, E=3503.717, elapsed=16.4s
result2: 2025-08-29, E=3347.154, elapsed=16.5s
result4-2: 2025-09-28, E=1200.000, elapsed=18.5s
result2: 2025-09-28, E=2284.343, elapsed=18.5s
result3: 2025-05-31, E=3613.854, elapsed=20.0s
result4-2: 2025-10-28, E=1534.879, elapsed=20.7s
result2: 2025-10-28, E=1535.796, elapsed=20.8s
result4-2: 2025-11-27, E=1492.774, elapsed=23.2s
result2: 2025-11-27, E=1501.619, elapsed=23.2s
result3: 2025-06-30, E=3696.899, elapsed=24.4s
result4-2: 2025-12-27, E=1481.016, elapsed=25.3s
result2: 2025-12-27, E=1466.143, elapsed=25.3s
result4-2: 2025-12-31, E=1251.256, elapsed=25.5s
result2: 2025-12-31, E=1270.654, elapsed=25.6s
VERIFIED result4-2: {'result_id': 'result4-2', 'passed': True, 'days': 365, 'first_day': '2025-01-01', 'last_day': '2025-12-31', 'tolerance_kwh': 1e-05, 'max_balance_error_kwh': 4.547473508864641e-13, 'max_storage_error_kwh': 1.1368683772161603e-13, 'max_continuity_error_kwh': 0.0, 'max_simultaneous_kwh': 0.0, 'max_version_error_kwh': 0.0, 'max_ledger_error_cny': 0.0, 'max_event_error_kwh': 2.6147972675971687e-11, 'information_audit': {'decisions': 1460, 'forecast_issue_checks': 0, 'historical_day_checks': 10132, 'weight_checks': 1460, 'reveal_checks': 1460, 'solver_checks': 2920}, 'total_cost_all_days': 16779128.415163074, 'independent_of_optimizer_objective': True}
VERIFIED result2: {'result_id': 'result2', 'passed': True, 'days': 365, 'first_day': '2025-01-01', 'last_day': '2025-12-31', 'tolerance_kwh': 1e-05, 'max_balance_error_kwh': 4.547473508864641e-13, 'max_storage_error_kwh': 1.1368683772161603e-13, 'max_continuity_error_kwh': 0.0, 'max_simultaneous_kwh': 0.0, 'max_version_error_kwh': 0.0, 'max_ledger_error_cny': 0.0, 'max_event_error_kwh': 2.504130236502533e-11, 'information_audit': {'decisions': 1460, 'forecast_issue_checks': 0, 'historical_day_checks': 10132, 'weight_checks': 1460, 'reveal_checks': 1460, 'solver_checks': 2920}, 'total_cost_all_days': 15691637.39004063, 'independent_of_optimizer_objective': True}
result3: 2025-07-30, E=3928.663, elapsed=28.6s
result4-3: 2025-01-01, E=9902.201, elapsed=0.7s
result3: 2025-08-29, E=2291.322, elapsed=32.8s
result4-3: 2025-01-31, E=1856.236, elapsed=4.5s
result3: 2025-09-28, E=3234.920, elapsed=36.5s
result4-3: 2025-03-02, E=1200.000, elapsed=8.0s
result3: 2025-10-28, E=1297.856, elapsed=40.0s
result4-3: 2025-04-01, E=2098.371, elapsed=11.6s
result3: 2025-11-27, E=1609.137, elapsed=43.6s
result4-3: 2025-05-01, E=1233.971, elapsed=15.0s
result3: 2025-12-27, E=1523.343, elapsed=47.4s
result4-3: 2025-05-31, E=3587.542, elapsed=18.7s
result3: 2025-12-31, E=1270.670, elapsed=48.0s
VERIFIED result3: {'result_id': 'result3', 'passed': True, 'days': 365, 'first_day': '2025-01-01', 'last_day': '2025-12-31', 'tolerance_kwh': 1e-05, 'max_balance_error_kwh': 2.2737367544323206e-13, 'max_storage_error_kwh': 1.1368683772161603e-13, 'max_continuity_error_kwh': 0.0, 'max_simultaneous_kwh': 0.0, 'max_version_error_kwh': 0.0, 'max_ledger_error_cny': 1.4551915228366852e-11, 'max_event_error_kwh': 2.5158541916425747e-11, 'information_audit': {'decisions': 1460, 'forecast_issue_checks': 1460, 'historical_day_checks': 10132, 'weight_checks': 1460, 'reveal_checks': 1460, 'solver_checks': 2920}, 'total_cost_all_days': 15025861.650502257, 'independent_of_optimizer_objective': True}
result4-3: 2025-06-30, E=3020.537, elapsed=23.1s
result4-3: 2025-07-30, E=3316.070, elapsed=27.6s
result4-3: 2025-08-29, E=1200.000, elapsed=32.2s
result4-3: 2025-09-28, E=1311.885, elapsed=36.6s
result4-3: 2025-10-28, E=1271.931, elapsed=41.0s
result4-3: 2025-11-27, E=1656.876, elapsed=46.0s
result4-3: 2025-12-27, E=1363.893, elapsed=50.7s
result4-3: 2025-12-31, E=1249.749, elapsed=51.3s
VERIFIED result4-3: {'result_id': 'result4-3', 'passed': True, 'days': 365, 'first_day': '2025-01-01', 'last_day': '2025-12-31', 'tolerance_kwh': 1e-05, 'max_balance_error_kwh': 2.2737367544323206e-13, 'max_storage_error_kwh': 1.1368683772161603e-13, 'max_continuity_error_kwh': 0.0, 'max_simultaneous_kwh': 0.0, 'max_version_error_kwh': 0.0, 'max_ledger_error_cny': 2.1827872842550278e-11, 'max_event_error_kwh': 2.4719781777093885e-11, 'information_audit': {'decisions': 1460, 'forecast_issue_checks': 1460, 'historical_day_checks': 10132, 'weight_checks': 1460, 'reveal_checks': 1460, 'solver_checks': 2920}, 'total_cost_all_days': 16063705.083400894, 'independent_of_optimizer_objective': True}
Completed stage: backtest
